epoch,loss
1,0.6621778778892626
2,0.4153260867372691
3,0.18627511447282147
4,0.1000038406831755
5,0.06256057000417503
6,0.04290906591809911
7,0.03150449422516411
8,0.02502861987504599
9,0.021125084847855052
10,0.01834439206198394
11,0.016604749331746597
12,0.01507037641520766
13,0.01388600510176566
14,0.012990391511711285
15,0.01237208743264778
16,0.011485069474245576
17,0.010924237451965003
18,0.010351806316229936
19,0.009966828813441365
20,0.009362289266620609
21,0.008891831379946617
22,0.008495962830166594
23,0.008132921994107662
24,0.007706885403625185
25,0.007346121071697139
26,0.007079265931312986
27,0.006829768429315991
28,0.006553227008193088
29,0.006301530529644421
30,0.00606696669132911
31,0.005942390943549091
32,0.005853006341528121
33,0.00574091661105053
