epoch,loss
1,0.6760406835044889
2,0.3413061280902341
3,0.2194099873304367
4,0.15240688648798484
5,0.11412211298513755
6,0.09013017867323306
7,0.07354338520722424
8,0.06342270603175644
9,0.05593576343904296
10,0.05012527378879005
11,0.04591509510876892
12,0.04242755393598148
13,0.039765798614072284
14,0.037405389354383346
15,0.034739861975042086
16,0.03321814066696939
17,0.0322533972668562
18,0.03019295660979885
19,0.028114642921111568
20,0.02768971813882855
21,0.026816381248745986
22,0.025344521772089623
23,0.024247219926751346
24,0.023219776782039687
25,0.021815703806581255
26,0.021877232536995153
27,0.020470734203247715
28,0.01932254210516489
29,0.01849581346103399
30,0.017864510517486994
31,0.017060759879327078
32,0.01697783042147434
33,0.015892762496477836
34,0.014971166306423197
35,0.014686404412491716
36,0.013588958620864282
37,0.013635742746079139
38,0.013302329063361927
39,0.013272097675973992
40,0.011703028142613044
41,0.01150321638171407
42,0.011728151071575477
43,0.010844837947875904
44,0.010466488426645024
45,0.01024545078574539
46,0.009999713646046978
47,0.0100729846388852
48,0.008841439773388905
49,0.008640548214316368
50,0.008256206422937002
51,0.007537977970975766
52,0.007494625903451614
53,0.00707183955840284
54,0.006735443137586117
55,0.0063406259906913735
56,0.00574797393231512
57,0.006339492537617255
58,0.00577391003988844
59,0.005481101532312606
60,0.0055373768864882935
61,0.00516747188144665
62,0.005092653995312804
63,0.004949636496067476
